date,avg_block_size,cost_per_tx,dificultad,fees_total_btc,hashrate,market_cap,mempool_size,miners_revenue_usd,n_unique_addresses,precio_btc,total_btc_sent,trade_volume_exchange,transacciones_dia,transacciones_segundo,efficiency_j_th,elec_cost_kwh
2018-06-12,1.04493148965517,57.087420606717,4940704885521.0,21.90653344,35612546.9428532,115537724979.01923,12395975.369791666,12573789.8257324,447810.0,6879.31,17089044.791666668,459832204.8818,214595.0,2.3729166666666663,64.72398685651697,0.0732
2018-06-13,0.913050265734265,55.4039463382079,4940704885521.0,37.41423181,35121339.3988139,110195656463.0507,5015185.291666667,11932624.9425915,458587.0,6553.0,17090843.926056337,484793299.08,211829.0,2.2682291666666665,64.67907995618839,0.0732
2018-06-14,0.743882065359477,59.8185093686304,4940704885521.0,28.01723114,37577377.1190106,110809768168.94012,1336782.0104166667,12563621.7041841,440336.0,6299.89,17092700.0,724599740.0376,210029.0,2.373958333333333,64.6341730558598,0.0732
2018-06-15,0.801346516339869,62.4483414151768,4940704885521.0,23.19453295,37577377.1190106,111876333139.32434,1409213.84375,13178785.7305518,476263.0,6637.41,17094615.833333332,603633809.7738,205861.0,2.247395833333333,64.58926615553122,0.0732
2018-06-16,0.473838945783132,84.8882219851024,4940704885521.0,16.44224754,40770226.1552664,110419948391.34726,451826.0625,13504867.2356099,343365.0,6391.16,17096606.25,334034999.9856,159090.0,1.7718750000000005,64.54435925520264,0.0732
2018-06-17,0.490980267515924,90.856356115716,4940704885521.0,23.48902029,38559792.2070893,111189113647.82259,511002.9635416667,13246220.7271786,326154.0,6488.68,17098627.177419353,233202056.1244,144908.0,1.6383680555555558,64.49945235487405,0.0732
2018-06-18,0.648707695121951,68.6149016519525,4940704885521.0,17.52291191,40279018.6112271,111481784510.65932,927388.2135416666,13469448.2687865,424739.0,6445.79,17100631.25,184473224.2522,196305.0,2.182638888888889,64.45454545454545,0.0732
2018-06-19,0.908624083870968,70.7488809422489,5024546460933.97,83.80865389,39122596.140543,114822327749.29123,3042390.9010416665,13569989.109128,413610.0,6712.5,17102625.0,380519811.0,191805.0,2.176041666666667,64.40963855421687,0.0732
2018-06-20,1.07800025806452,70.9613389202276,5077499034879.0,203.28532024,39122596.140543,114188559351.25827,14204880.322916666,14482144.8535347,425849.0,6743.41,17104559.82142857,304414453.3591,198889.0,2.148263888888889,64.36473165388828,0.0732
2018-06-21,0.616743429411765,74.7457732486598,5077499034879.0,73.52012206,42908653.8315633,115175974157.64888,687118.5104166666,14808109.3756117,421062.0,6760.83,17106593.75,302034265.9362,198113.0,2.214756944444445,64.31982475355969,0.0732
2018-06-22,0.795271688741722,61.0354686631241,5077499034879.0,68.9368202,38112980.7562709,108786072023.9561,2070684.4114583333,12460024.7147648,469523.0,6719.79,17108600.0,220366441.3335,204144.0,2.2772569444444444,64.2749178532311,0.0732
2018-06-23,0.53442266875,77.2645560364319,5077499034879.0,31.93798474,40384615.3708831,104963667835.73474,673061.1197916666,13084984.3584379,368137.0,6059.3,17110544.871794872,718879048.173,163295.0,1.8105902777777778,64.23001095290252,0.0732
2018-06-24,0.484736935672515,83.0564995490686,5077499034879.0,27.03085817,43161057.6776313,102734436719.59724,503437.1197916667,13455402.0964478,350052.0,6170.46,17112619.56845238,289224701.2362,158022.0,1.7866319444444445,64.18510405257393,0.0732
2018-06-25,0.920947834394904,62.0349525707884,5077499034879.0,34.68013653,39627403.832679,106003059960.09616,3118866.3541666665,12514807.2617257,415603.0,6157.04,17114657.852564104,602644733.4488,200173.0,2.2300347222222228,64.14019715224535,0.0732
2018-06-26,1.06759165068493,58.9693415935998,5077499034879.0,32.34384664,36850961.5259308,106120138804.79297,13020214.635416666,11522845.2247558,410398.0,6249.62,17116556.25,425364636.2576,195404.0,2.199305555555555,64.09529025191677,0.0732
2018-06-27,1.08804307438017,49.9219816120736,5077499034879.0,32.15886049,30540865.3742303,104277594692.68845,16518360.125,9410792.753692,397242.0,6097.46,17118225.0,326673797.5094,188510.0,2.1343749999999995,64.05038335158818,0.0732
2018-06-28,0.689429566878981,65.2866849728238,5077499034879.0,27.15925646,39627403.832679,104241943004.48912,1140866.1614583333,12428430.3582216,396406.0,6143.97,17119956.451612905,320015558.6964,187624.0,2.1291666666666664,64.00547645125958,0.0732
2018-06-29,0.746513298013246,57.5514573568108,5077499034879.0,27.41063627,38112980.7562709,101009761289.54811,842954.4322916666,11427014.5125669,453051.0,5878.14,17121881.916666668,308347826.538,197881.0,2.2046875,63.960569550931,0.0732
2018-06-30,0.987340127659574,62.7379487074034,5077499034879.0,23.60409759,35588942.2955907,108939510421.85509,3347618.6770833335,11359646.682706,368308.0,6223.28,17123712.5,514392178.4736,181065.0,2.022395833333333,63.915662650602414,0.0732
2018-07-01,0.705291442176871,75.9934713747747,5077499034879.0,16.7928896,37103365.3719988,108786787496.95396,838489.7708333334,11937510.4443779,341862.0,6408.91,17125515.15410959,356651611.6194,156247.0,1.733854166666667,63.87075575027382,0.0725
2018-07-02,0.98755014893617,58.2523981653628,5172892177079.67,23.48063765,37594816.2562869,110340752568.6281,7181058.052083333,11654033.0293607,433258.0,6365.66,17127315.80357143,209438934.9542,199294.0,2.304340277777778,63.82584884994524,0.0725
2018-07-03,1.11381700862069,44.8679497980496,5363678461481.0,27.90259772,30929068.6931155,112946260636.63336,24530686.4375,9914650.33867422,456150.0,6626.44,17128919.782608695,406984481.0588,216747.0,2.4534722222222216,63.78094194961665,0.0725
2018-07-04,0.935352985074627,54.3173579085726,5363678461481.0,21.54452916,35728406.9385989,112604654941.34291,4487442.765625,11310340.4852283,435402.0,6518.97,17130477.72556391,304110602.397,206788.0,2.2369791666666665,63.73603504928806,0.0725
2018-07-05,0.783748218978102,57.1480074977725,5363678461481.0,19.76600519,36528296.6461795,112767275623.77304,1309351.9270833333,11406742.2965554,413998.0,6602.32,17132175.0,358858407.8416,199600.0,2.2244791666666663,63.69112814895948,0.0725
2018-07-06,0.68545858125,65.5817167447849,5363678461481.0,21.70281974,42660784.4042972,112097469099.79393,861328.484375,13385359.5510441,529418.0,6555.51,17134032.2327044,368324017.1091,200993.0,2.2699652777777772,63.64622124863089,0.0725
2018-07-07,0.537210057692308,75.0157881326367,5363678461481.0,16.56969368,41594264.7941898,112603239556.728,626850.609375,13246362.8842491,357621.0,6628.59,17136007.224025972,246024956.7207,170160.0,1.8710069444444446,63.6013143483023,0.0725
2018-07-08,0.592209537974683,86.9610145552771,5363678461481.0,15.64479917,42127524.5992435,115410999137.51376,764584.78125,13573744.7619332,350857.0,6778.38,17137972.929936305,261353252.0382,155685.0,1.744965277777778,63.55640744797371,0.0725
2018-07-09,1.06041535294118,55.8661199449798,5363678461481.0,19.92606527,36261666.7436526,114933868129.96324,9706224.854166666,11538923.6101558,425385.0,6724.04,17139806.25,220696037.4376,206546.0,2.361111111111111,63.51150054764513,0.0725
2018-07-10,0.971490577181208,57.7883932280965,5363678461481.0,22.86071401,39727855.4765018,111128756038.70215,4883520.583333333,12706743.0565668,445234.0,6682.68,17141580.993150685,286804720.8216,216063.0,2.3814236111111122,63.46659364731654,0.0725
2018-07-11,1.00659225925926,53.6080436010521,5363678461481.0,20.44250057,35995036.8411258,108884383944.76674,7524178.979166667,11007393.2006476,413229.0,6329.27,17143363.152985074,411395714.3884,202603.0,2.2789930555555555,63.42168674698795,0.0725
2018-07-12,1.1791594822695,53.9215144989986,5363678461481.0,18.63321237,37594816.2562869,106598600081.42857,36388131.786458336,11243498.5172732,405288.0,6403.18,17145092.14285714,275030732.0278,203535.0,2.3048611111111112,63.37677984665937,0.0725
2018-07-13,1.11353270629371,54.618507183507,5363678461481.0,19.53514153,38128076.0613406,106893678929.74158,43265153.671875,11580161.27454,473175.0,6239.47,17146869.59219858,377493363.3389,207904.0,2.2862847222222222,63.331872946330776,0.0725
2018-07-14,1.15948982706767,59.2424498047415,5363678461481.0,15.01264127,35461777.0360721,106876635239.76207,37417937.677083336,10454811.3292918,362896.0,6220.1,17148587.5,279061863.053,176475.0,1.9279513888888886,63.28696604600219,0.0725
2018-07-15,0.773946090225564,65.8657733717298,5363678461481.0,15.27821656,35461777.0360721,108332278422.91667,3856557.4427083335,10753180.2948952,346483.0,6248.84,17150256.25,164361051.426,161151.0,1.7649305555555557,63.24205914567361,0.0725
2018-07-16,0.928807491666666,47.6672706829671,5363678461481.0,23.61292569,31995588.3032229,111630674305.45491,2802099.09375,9907260.87328925,431583.0,6348.09,17151831.25,193070237.9319,207842.0,2.3484374999999997,63.197152245345016,0.0725
2018-07-17,0.909335534591195,58.6894662861372,5199615302174.91,24.94209666,40931868.4915103,117849554852.86017,3778766.0572916665,14162648.5568392,487160.0,6732.81,17153571.41719745,472784651.01,233966.0,2.609722222222222,63.15224534501643,0.0725
2018-07-18,1.04647424712644,70.5317940206958,5178671069072.0,31.82668475,44793365.5190113,127179838640.78172,8585529.338541666,17110731.1022447,494823.0,7321.62,17155671.564327486,761941225.026,238769.0,2.65,63.10733844468784,0.0725
2018-07-19,0.734628801169591,71.1192864354462,5178671069072.0,28.82741906,44021066.1135111,126808181702.61319,1554953.7708333333,16004613.1001464,465957.0,7371.11,17157812.5,691643413.6315,225039.0,2.526388888888889,63.06243154435926,0.0725
2018-07-20,0.815292727272728,64.1460539385014,5178671069072.0,23.08779797,39644702.8156767,127413496840.78734,1728086.453125,14466795.3986963,496860.0,7473.9,17159843.75,449834010.948,225529.0,2.536805555555555,63.01752464403067,0.0725
2018-07-21,0.715741226277372,69.256479687694,5178671069072.0,17.37819099,35268339.5178422,125921149889.56801,1076930.015625,12868685.0037298,385950.0,7334.99,17161664.70588235,523947504.4375,184803.0,2.0434027777777777,62.97261774370208,0.0725
2018-07-22,0.451292708791209,102.073089909459,5178671069072.0,14.77231882,46852830.6003451,127831218575.83359,429936.4583333333,17426428.2747925,366446.0,7408.99,17163658.541666668,233495357.1086,167129.0,1.8713541666666662,62.9277108433735,0.0725
2018-07-23,0.890057921686746,70.4964195567248,5178671069072.0,26.12072165,42733900.4376774,131859191991.19685,2512663.296875,16326406.797981,473606.0,7406.66,17165827.651515152,296669988.9034,229480.0,2.5956597222222224,62.882803943044905,0.0725
2018-07-24,0.917435553459119,62.5483011833714,5178671069072.0,29.64295029,40931868.4915103,138209018248.76312,2699793.3489583335,16222402.2983168,532884.0,7715.1,17167862.5,705993833.706,259358.0,2.9263888888888885,62.83789704271632,0.0725
2018-07-25,0.965074491525424,74.0261387323742,5178671069072.0,26.82417337,45565664.9245115,141868399701.8048,4480197.697916667,18521932.1199499,525952.0,8418.11,17169962.5,1073811754.5292,250208.0,2.7875,62.79299014238774,0.0725
2018-07-26,0.771370909090909,74.4237292914137,5178671069072.0,23.88022702,42476467.3025107,140655464683.93765,1417395.34375,17302326.280585,479850.0,8171.65,17172103.963414636,666649090.588,231679.0,2.5711805555555554,62.748083242059145,0.0725
2018-07-27,0.886276053892216,75.0318708462633,5178671069072.0,20.72404572,42991333.5728441,138267449250.0728,1546922.375,17336563.9502542,517778.0,7939.81,17174175.454545453,569963389.5512,229397.0,2.5864583333333333,62.70317634173056,0.0725
2018-07-28,0.759045937931035,80.1092998072034,5178671069072.0,16.74880998,37327804.5991761,140582972733.57614,1388287.46875,15379062.9397877,395734.0,8178.33,17176127.272727273,601286932.9101,188238.0,2.1008680555555554,62.65826944140197,0.0725
