date,price_usd,hashrate_th_s,difficulty,transactions_count,miners_revenue_usd,electricity_price_usd_kwh,efficiency_j_th,miners_revenue_btc
2023-08-16,29169.09,424513880.24070114,52391178981379.0,566878.0,30586968.731064703,0.0843,17.5,1048.6089463560468
2023-08-17,28701.48,406283222.8070514,52391178981379.0,502274.0,28424682.20544334,0.0843,17.5,990.3559748641304
2023-08-18,26662.05,362008769.0396163,52391178981379.0,423207.0,23433019.422335666,0.0843,17.5,878.8903862357046
2023-08-19,26047.05,364613148.6729948,52391178981379.0,519780.0,23221911.614093296,0.0843,17.5,891.5371074303346
2023-08-20,26090.7,421909500.6073226,52391178981379.0,612461.0,27190186.429498125,0.0843,17.5,1042.1409325736038
2023-08-21,26189.99,429722639.5074582,52391178981379.0,550074.0,27340334.701749604,0.0843,17.5,1043.9230676204766
2023-08-22,26123.41,380936887.228172,53588410123873.43,420857.0,24046155.91841951,0.0843,17.5,920.4830425438146
2023-08-23,26036.91,392623891.9211836,55621444139430.0,417822.0,23718914.63540224,0.0843,17.5,910.9727166319751
2023-08-24,26426.74,384329020.9651023,55621444139430.0,399151.0,23333266.492939506,0.0843,17.5,882.9415392492416
2023-08-25,26165.4,373269193.0236605,55621444139430.0,425192.0,22467915.225991677,0.0843,17.5,858.6880088204911
2023-08-26,26049.42,378799106.9943814,55621444139430.0,497513.0,23075478.398958765,0.0843,17.5,885.8346327464783
2023-08-27,26006.44,320735010.301812,55621444139430.0,413594.0,19271798.243833877,0.0843,17.5,741.0394596043856
2023-08-28,26088.78,326264924.27253294,55621444139430.0,331345.0,19666378.699688364,0.0843,17.5,753.8251577761921
2023-08-29,26108.31,436863203.68695074,55621444139430.0,500301.0,26890150.788067795,0.0843,17.5,1029.946051202387
2023-08-30,27731.23,348384580.1554164,55621444139430.0,408001.0,22094413.287385218,0.0843,17.5,796.7339814132016
2023-08-31,27301.12,398153805.8919045,55621444139430.0,437435.0,24961857.55441304,0.0843,17.5,914.3162461618073
2023-09-01,25932.99,417508504.7894277,55621444139430.0,419548.0,25120794.91081459,0.0801,17.5,968.6810086617312
2023-09-02,25802.1,420273461.77478814,55621444139430.0,539748.0,25144099.92728905,0.0801,17.5,974.4981969409099
2023-09-03,25869.09,436863203.68695074,55621444139430.0,625257.0,26107291.39871566,0.0801,17.5,1009.2079543082366
2023-09-04,25969.05,411978590.8187068,55621444139430.0,573196.0,25039640.94070276,0.0801,17.5,964.2108949192504
2023-09-05,25810.86,342854666.18469554,55621444139430.0,462093.0,21245406.274935115,0.0801,17.5,823.1188838703986
2023-09-06,25785.3,364419397.2930779,54302721812289.63,485357.0,22504229.02618749,0.0801,17.5,872.7542059308013
2023-09-07,25753.31,393005453.9397736,54150142369480.0,537939.0,24404908.237159327,0.0801,17.5,947.6416133366672
2023-09-08,26243.47,358011817.6300677,54150142369480.0,414799.0,22598608.962329462,0.0801,17.5,861.1136013007983
2023-09-09,25906.03,406464544.828122,54150142369480.0,597409.0,25270696.568339124,0.0801,17.5,975.4754614404108
2023-09-10,25894.31,395697272.1174433,54150142369480.0,558395.0,24948509.55641232,0.0801,17.5,963.47458404616
2023-09-11,25832.82,427999090.2494795,54150142369480.0,459132.0,26180834.564799786,0.0801,17.5,1013.4717992383249
2023-09-12,25162.7,379546363.0514252,54150142369480.0,462328.0,23588981.36153588,0.0801,17.5,937.4582760012192
2023-09-13,25835.7,395697272.1174433,54150142369480.0,512446.0,24786596.15628565,0.0801,17.5,959.3932487327864
2023-09-14,26227.98,436074544.7824885,54150142369480.0,576215.0,27600711.13450581,0.0801,17.5,1052.3384238704548
