date,avg_block_size,cost_per_tx,dificultad,dificultad_btc,fees_total_btc,hashrate,hashrate_btc,ingresos_mineros_btc,market_cap,mempool_size,miners_revenue_usd,n_unique_addresses,precio_btc,total_btc_sent,trade_volume_exchange,transacciones_btc,transacciones_dia,transacciones_segundo,efficiency_j_th,elec_cost_kwh,attack_hourly_cost_usd
2015-01-24,0.372339738095238,8.9834450164625,43971662056.0896,43971662056.0896,11.54826012,264487.024401411,264487.024401411,785746.001809909,3215248706.6864753,21995935.986486487,785746.001809909,167143.0,233.71,13757428.893442623,3572572.8585,83557.0,83557.0,2.322569444444444,452.22222222222223,0.0688,8228.955402753945
2015-01-25,0.457589824,8.98664655971026,43971662056.0896,43971662056.0896,13.306376,275416.240285767,275416.240285767,857586.694546591,3430784516.252101,21995935.986486487,857586.694546591,281521.0,249.32,13760566.80672269,3419049.82,86558.0,86558.0,2.322569444444444,451.1522633744856,0.0688,8548.72062004103
2015-01-26,0.491455637795276,8.07867766002105,43971662056.0896,43971662056.0896,16.01810841,277602.083462638,277602.083462638,1002878.96603735,3500391592.4521737,21995935.986486487,1002878.96603735,216080.0,254.32,13763729.130434783,7333970.8024,108181.0,108181.0,2.322569444444444,450.082304526749,0.0688,8596.132440080824
2015-01-27,0.384686859060403,11.7164268777692,43971662056.0896,43971662056.0896,14.03022961,316947.260646319,316947.260646319,1300992.04050749,3778110802.1360292,21995935.986486487,1300992.04050749,205787.0,274.43,13767120.220588235,15316981.134,99393.0,99393.0,2.322569444444444,449.01234567901236,0.0688,9791.150427602663
2015-01-28,0.273634469512195,16.1367169104603,41272873894.697,41272873894.697,11.59256582,324166.338971824,324166.338971824,1611057.54290654,3628944900.0,21995935.986486487,1611057.54290654,156833.0,263.52,13771041.666666666,5577777.6336,85232.0,85232.0,2.322569444444444,447.9423868312757,0.0688,9990.299640326391
2015-01-29,0.28234537804878,11.4806043582483,41272873894.697,41272873894.697,12.23134655,348786.567248165,348786.567248165,1207954.74876182,3253699347.755102,21995935.986486487,1207954.74876182,178726.0,236.2,13775187.75510204,6634468.27,90879.0,90879.0,2.322569444444444,446.87242798353907,0.0688,10723.381290611122
2015-01-30,0.312746920289855,11.0224083278685,41272873894.697,41272873894.697,11.21422969,285184.310867618,285184.310867618,1124241.55980927,3251686356.873016,21995935.986486487,1124241.55980927,161500.0,235.99,13778915.873015873,6134493.9728,81199.0,81199.0,2.322569444444444,445.8024691358025,0.0688,8746.947852118055
2015-01-31,0.314858072289157,11.4161596103831,41272873894.697,41272873894.697,12.52130893,318011.281902739,318011.281902739,1195032.17185529,3128283505.612245,21995935.986486487,1195032.17185529,243132.0,226.97,13782806.122448979,4672347.6775,86312.0,86312.0,2.322569444444444,444.73251028806584,0.0688,9730.380952196525
2015-02-01,0.300457864516129,11.7892237884926,41272873894.697,41272873894.697,11.21454393,348786.567248165,348786.567248165,1082639.78816864,3022748289.3435254,21995935.986486487,1082639.78816864,217101.0,219.25,13786765.287769783,4165894.705,78994.0,78994.0,2.322569444444444,443.66255144032925,0.0683,10568.983668173601
2015-02-02,0.308427603773585,10.9267149101272,41272873894.697,41272873894.697,12.46050215,301597.796385178,301597.796385178,1007399.40785408,3130208867.457237,21995935.986486487,1007399.40785408,184674.0,226.98,13790681.414473685,4260557.5974,85987.0,85987.0,2.322569444444444,442.5925925925926,0.0683,9117.022127505057
2015-02-03,0.404064700787402,9.24831238389528,41272873894.697,41272873894.697,13.07488376,276977.568108837,276977.568108837,913622.283780247,3282625604.8333335,21995935.986486487,913622.283780247,203192.0,237.97,13794283.333333334,3715137.6663,91793.0,91793.0,2.322569444444444,441.52263374485597,0.0683,8352.534404064705
2015-02-04,0.311072855345912,10.6386139933006,41272873894.697,41272873894.697,12.57715341,330321.39604091,330321.39604091,1055456.89427536,3139411639.7197986,21995935.986486487,1055456.89427536,198579.0,227.53,13797792.11409396,3988923.9926,90814.0,90814.0,2.322569444444444,440.4526748971193,0.0683,9937.03137015252
